"Location_Code","Ward_Number","Location","Enforcement_Start_Date","Year_2007","Year_2008","Year_2009","Year_2010","Year_2011","Year_2012","Year_2013","Year_2014","Year_2015","Year_2016","Year_2017","Year_2018","Year_2019","Year_2020","Year_2021","Year_2022","Year_2023","Year_2024"
2501,1,"Steeles Ave. and Brimley Rd.",2008-01-24,36,462,229,63,459,217,218,8,90,138,187,115,204,60,118,27,65,422
2502,2,"Lawrence Ave. and Bathurst St.",2009-01-03,6,277,496,164,234,168,379,298,100,427,362,36,336,446,170,338,196,327
2503,3,"Bathurst St. and Sheppard Ave.",2008-11-24,344,264,273,400,296,147,257,151,334,407,18,111,191,228,280,268,179,25
2504,4,"Dixon Rd. and Kipling Ave.",2008-05-27,106,223,428,366,227,27,8,152,315,366,451,261,496,374,483,144,205,413
2505,5,"Steeles Ave. and Birchmount Rd.",2008-06-17,234,94,335,17,484,228,341,374,424,123,275,256,478,393,209,217,387,307
2506,6,"Sheppard Ave. and Wilson Heights Blvd.",2009-02-12,317,46,88,316,309,345,452,21,214,161,169,273,368,370,186,369,161,336
2507,7,"Finch Ave. and Willowdale Ave.",2008-04-02,291,129,227,86,312,439,360,499,148,418,6,259,255,449,184,288,448,397
2508,8,"Lake Shore Blvd. and York St.",2007-11-24,452,177,376,252,292,226,285,143,88,433,96,310,240,74,408,241,278,101
2509,9,"Dixon Rd. and Carlingview Dr.",2008-12-14,40,275,40,204,240,427,163,280,76,109,425,272,415,452,32,232,161,492
2510,10,"Leslie St. and Lawrence Ave.",2008-06-15,438,63,253,298,1,431,213,174,226,94,116,106,334,122,120,291,416,367
2511,11,"College St. and Bathurst St.",2007-10-26,315,82,199,106,234,184,478,193,93,67,343,188,9,109,331,93,463,484
2512,12,"Midland Ave. and McNicoll Ave.",2008-10-03,150,398,406,499,379,323,397,489,92,304,183,121,243,447,214,421,143,266
2513,13,"Albion Rd. and Finch Ave.",2007-06-18,454,16,334,15,20,450,52,338,254,237,215,149,179,304,301,108,261,230
2514,14,"Richmond St. and Parliament St.",2007-02-17,358,472,414,450,0,42,450,298,474,46,277,500,373,374,497,170,212,212
2515,15,"Overlea Blvd. and Thorncliffe Park Dr.",2007-08-11,119,267,423,44,380,31,270,447,163,413,233,480,156,460,295,435,372,53
2516,16,"Steeles Ave. and Carpenter Rd.",2007-12-07,148,131,431,153,383,249,155,212,351,65,52,496,376,251,55,60,432,424
2517,17,"Lawrence Ave. and Morningside Ave.",2008-05-13,238,278,246,208,160,429,59,107,51,331,282,302,96,325,344,465,58,210
2518,18,"Bayview Ave. and Cummer Ave.",2007-10-18,292,70,130,376,70,352,172,38,483,428,35,377,391,85,417,201,119,184
2519,19,"Bayview Ave. and Truman Rd.",2007-04-04,393,332,421,348,369,14,253,476,376,279,462,158,304,430,95,144,207,307
2520,20,"Warden Ave. and Arkona Dr.",2008-10-26,269,478,410,289,18,235,475,417,51,146,296,336,149,411,5,274,47,500
2521,21,"Steeles Ave. and Islington Ave.",2009-12-05,383,459,110,202,119,161,106,298,496,89,110,310,204,363,480,273,164,283
2522,22,"Leslie St. and York Mills Rd.",2009-01-28,239,184,149,382,366,196,482,408,224,57,20,76,242,248,124,433,83,497
2523,23,"Lawrence Ave. and Marlee Ave.",2007-03-16,106,463,45,190,204,352,264,178,352,62,162,492,282,352,70,298,228,175
2524,24,"Albion Rd. and Silverstone Dr.",2008-08-17,85,91,236,30,98,16,132,368,78,460,343,243,118,147,49,321,51,212
2525,25,"Steeles Ave. and Hilda Ave.",2008-12-03,411,366,246,266,125,136,148,310,259,482,452,449,468,309,196,428,412,31
